Record Id,Account Name,Client Segment Type,Account Owner
zcrm_4508063000090931169,Chestnut Research,One Stop Shopper,Bud Conner
zcrm_4508063000084138022,S&P Global,One Stop Shopper,Whitney Giordano
zcrm_4508063000078380399,"Saperstein Associates, Inc.",One Stop Shopper,Bud Conner
zcrm_4508063000077946498,Epic Pivot,One Stop Shopper,Scott Stein
zcrm_4508063000077786094,"Praml Market Research, LLC",One Stop Shopper,Courtney Hocking
zcrm_4508063000077715090,Grey Matter Research & Consulting LLC,One Stop Shopper,Bud Conner
zcrm_4508063000077659986,Fordis Consulting,One Stop Shopper,Zach Janson
zcrm_4508063000063495074,"Stride, Inc.",One Stop Shopper,Scott Stein
zcrm_4508063000050827006,"Egg Strategy, Inc",One Stop Shopper,Whitney Giordano
zcrm_4508063000047321471,Priority Designs,One Stop Shopper,Bud Conner
zcrm_4508063000041052049,Paramount Global,One Stop Shopper,Whitney Giordano
zcrm_4508063000037683001,The Insight Scout,One Stop Shopper,Zach Janson
zcrm_4508063000025435216,Fast Focus,One Stop Shopper,Bud Conner
zcrm_4508063000024306010,Traverse Bay Strategy Group,One Stop Shopper,Zach Janson
zcrm_4508063000018360015,Opendoor Technologies Inc.,One Stop Shopper,Courtney Hocking
zcrm_4508063000016783028,"Nonfiction Research, LLC",One Stop Shopper,Whitney Giordano
zcrm_4508063000007774727,Research Partnership,One Stop Shopper,Danielle Chinitz
zcrm_4508063000003683154,"Waldman Research, LLC",One Stop Shopper,Courtney Hocking
zcrm_4508063000003682103,Research Narrative Inc.,One Stop Shopper,Courtney Hocking
zcrm_4508063000003681130,Brunswick Group,One Stop Shopper,Whitney Giordano
zcrm_4508063000003681053,Flow Strategy,One Stop Shopper,Courtney Hocking
zcrm_4508063000003680175,Forrester Research Inc.,One Stop Shopper,Whitney Giordano
zcrm_4508063000003680169,Burning Questions,One Stop Shopper,Zach Janson
zcrm_4508063000003679037,Concentrix Corporation,One Stop Shopper,Whitney Giordano
zcrm_4508063000003677941,Boone Insights Inc.,One Stop Shopper,Danielle Chinitz
zcrm_4508063000003675067,"Digital Research, Inc.",One Stop Shopper,Whitney Giordano
zcrm_4508063000003674112,Ideas in Focus,One Stop Shopper,Courtney Hocking
zcrm_4508063000003673196,"Interrupt, LLC",One Stop Shopper,Courtney Hocking
zcrm_4508063000003672067,Lieberman Inc.,One Stop Shopper,Danielle Chinitz
zcrm_4508063000003671528,Catapult,One Stop Shopper,Danielle Chinitz
zcrm_4508063000002112012,Schmidt Market Research Inc.,One Stop Shopper,Courtney Hocking
zcrm_4508063000000534079,W2 Communications,One Stop Shopper,Courtney Hocking
zcrm_4508063000000533749,Triad Research Group Inc.,One Stop Shopper,Courtney Hocking
zcrm_4508063000000533731,TRC Market Research,One Stop Shopper,Whitney Giordano
zcrm_4508063000000533611,thinktank research & strategy,One Stop Shopper,Courtney Hocking
zcrm_4508063000000533070,Sparketing,One Stop Shopper,Courtney Hocking
zcrm_4508063000000532614,RRD Marketing (Precision Dialogue),One Stop Shopper,Courtney Hocking
zcrm_4508063000000532368,Research Collaborative,One Stop Shopper,Whitney Giordano
zcrm_4508063000000532085,Prophet,One Stop Shopper,Zach Janson
zcrm_4508063000000531995,"Povaddo, LLC",One Stop Shopper,Bud Conner
zcrm_4508063000000531665,NSRC,One Stop Shopper,Courtney Hocking
zcrm_4508063000000530759,Gensler,One Stop Shopper,Danielle Chinitz
zcrm_4508063000000528774,Isurus Market Research & Consulting,One Stop Shopper,Whitney Giordano
zcrm_4508063000000528333,Helical Research Inc.,One Stop Shopper,Bud Conner
zcrm_4508063000000528177,"Halverson Consulting, LLC",One Stop Shopper,Zach Janson
zcrm_4508063000000527599,Federated Hermes,One Stop Shopper,Whitney Giordano
zcrm_4508063000000527581,Facet Squared,One Stop Shopper,Bud Conner
zcrm_4508063000000527188,Direct Opinions,One Stop Shopper,Courtney Hocking
zcrm_4508063000000526609,Cleveland Clinic,One Stop Shopper,Courtney Hocking
zcrm_4508063000000526097,"Brighton Avenue, LLC",One Stop Shopper,Scott Stein
zcrm_4508063000000526043,Bredin Inc.,One Stop Shopper,Bud Conner
zcrm_4508063000000524971,Brand Beacon Consulting,One Stop Shopper,Bud Conner
zcrm_4508063000000524483,"AnswerLab, LLC",One Stop Shopper,Courtney Hocking
zcrm_4508063000000524363,AMC Global,One Stop Shopper,Courtney Hocking
zcrm_4508063000000524333,Alter Agents,One Stop Shopper,Courtney Hocking
zcrm_4508063000144473922,Proctor & Gamble,Tech,Scott Stein
zcrm_4508063000131316001,Yonder Data,Tech,Scott Stein
zcrm_4508063000120700020,Reppublika,Tech,Danielle Chinitz
zcrm_4508063000119639350,Radius Global Market Research,Tech,Scott Stein
zcrm_4508063000106648194,Navigate360,Tech,Zach Janson
zcrm_4508063000097310001,thinqinsights,Tech,Scott Stein
zcrm_4508063000093283043,Australian Data and Insights Association (ADIA),Tech,Scott Stein
zcrm_4508063000073675162,Fifth Dimension Research and Consulting,Tech,Danielle Chinitz
zcrm_4508063000073675003,ATP Canada,Tech,Danielle Chinitz
zcrm_4508063000059370015,Outsized Insights,Tech,Whitney Giordano
zcrm_4508063000026656001,Lewers Research,Tech,Whitney Giordano
zcrm_4508063000014762227,Strategence US,Tech,Courtney Hocking
zcrm_4508063000014485056,BitBurst GmbH,Tech,Scott Stein
zcrm_4508063000008655102,Research Results Inc.,Tech,Whitney Giordano
zcrm_4508063000003682313,"Gazelle Global Research Services, LLC",Tech,Whitney Giordano
zcrm_4508063000003680854,Pureprofile Pty Ltd,Tech,Danielle Chinitz
zcrm_4508063000003680307,Cimigo,Tech,Scott Stein
zcrm_4508063000003679175,Directions Research Inc.,Tech,Whitney Giordano
zcrm_4508063000003675295,Zinklar,Tech,Danielle Chinitz
zcrm_4508063000003672199,Response AI,Tech,Scott Stein
zcrm_4508063000000532644,Russell Research,Tech,Whitney Giordano
zcrm_4508063000000532229,Quester,Tech,Whitney Giordano
zcrm_4508063000000531060,Maru/Blue,Tech,Danielle Chinitz
zcrm_4508063000000530188,Kadence International,Tech,Whitney Giordano
zcrm_4508063000000528737,IQVIA,Tech,Danielle Chinitz
